uniqueID,intensityDif,preceding_phone,Consonant,following_phone,grupo,sexo,Word,wordFrequency,stressStatus,wordPosition,pastParticiple,observableDip,stopBurst,formante,speaker,Status,stopMinInten,vowelMaxInten,startTime,endTime,midPoint,following_two_phone,Notes,Analyst,Date,minimumPitchSetting,Praat.Version,OS,wordFrequencyAbsolute
001-cdmx-f-30-lic-1191.3467523712,10.07532524158102,baja,d,baja,CDMX-IN-SITU,FEMENINO,NADA,3.0170333392987803,unstressed,medial,no,yes,hay,formantes_fuertes,001-cdmx-f-30-lic,valid,52.694927912577974,61.77025315415899,1191.3328664609119,1191.3606382814937,1191.346752371203,sil,"Barely observable dip, not sure if we can count it, think it's a faint release burst.",mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,104
001-cdmx-f-30-lic-1233.19203616474,12.190995468569028,alta,d,media,CDMX-IN-SITU,FEMENINO,ÁCIDO,1,unstressed,medial,maybe,yes,no_hay,weak_formants,001-cdmx-f-30-lic,valid,61.104077010495246,72.29507247906427,1233.1686036911208,1233.2154686383526,1233.1920361647367,i,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,1
001-cdmx-f-30-lic-1240.19367364636,14.853292561619469,alta,d,alta,CDMX-IN-SITU,FEMENINO,ESTUDIO,1.6989700043360187,unstressed,medial,no,yes,hay,formantes_fuertes,001-cdmx-f-30-lic,valid,61.20413996517554,75.05743252679501,1240.158203452113,1240.229143840609,1240.1936736463608,o,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,5
001-cdmx-f-30-lic-1246.17259075212,14.425696398783117,alta,d,alta,CDMX-IN-SITU,FEMENINO,ESTUDIÓ,1.6989700043360187,stressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,61.02036369310932,74.44606009189243,1246.1244240007984,1246.2207575034415,1246.17259075212,o,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,5
001-cdmx-f-30-lic-1301.27613174644,6.856589137216446,alta,d,alta,CDMX-IN-SITU,FEMENINO,ESTUDIO,1.6989700043360187,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,66.2522428726137,72.10883200983015,1301.2479259911636,1301.3043375017203,1301.276131746442,o,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,5
001-cdmx-f-30-lic-1320.3863908287,3.859256726920165,alta,d,baja,CDMX-IN-SITU,FEMENINO,HUMANIDADES,1,stressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,64.22295089167619,67.08220761859636,1320.3573172040249,1320.415464453368,1320.3863908286964,d,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,1
001-cdmx-f-30-lic-1320.48465006053,8.284718421697718,baja,d,media,CDMX-IN-SITU,FEMENINO,HUMANIDADES,1,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,59.79748919689864,67.08220761859636,1320.4746695625051,1320.4946305585484,1320.4846500605267,s,Barely observable dip,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,1
001-cdmx-f-30-lic-1334.98964106634,15.056499973226352,media,d,media,CDMX-IN-SITU,FEMENINO,PUEDES,2.7993405494535817,unstressed,medial,no,yes,no_hay,weak_formants,001-cdmx-f-30-lic,valid,64.82646747073704,78.8829674439634,1334.9714158090806,1335.0078663235943,1334.9896410663373,s,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,63
001-cdmx-f-30-lic-1340.67476160326,16.518808971218412,alta,d,alta,CDMX-IN-SITU,FEMENINO,ESTUDIAR,2.380211241711606,stressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,57.40334972712994,72.92215869834835,1340.6521969990329,1340.6973262074782,1340.6747616032555,a,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,24
001-cdmx-f-30-lic-1341.74752664697,8.693257898731929,alta,d,baja,CDMX-IN-SITU,FEMENINO,UNIVERSIDAD,2.462397997898956,stressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,63.14615028377604,70.83940818250797,1341.710642197757,1341.7844110961773,1341.7475266469671,d,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,29
001-cdmx-f-30-lic-1346.41272535841,8.667281859552475,media,d,media,CDMX-IN-SITU,FEMENINO,PUEDES,2.7993405494535817,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,65.01040074128463,72.6776826008371,1346.3992733828154,1346.426177334004,1346.4127253584097,s,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,63
001-cdmx-f-30-lic-1358.93307497924,4.012495061525911,baja,d,baja,CDMX-IN-SITU,FEMENINO,CONTRALADAS,1,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,64.46891937924231,67.48141444076822,1358.9191890689474,1358.9469608895292,1358.9330749792384,s,Barely observable intensity dip,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,1
001-cdmx-f-30-lic-1386.02037061576,9.967179922949171,media,d,alta,CDMX-IN-SITU,FEMENINO,PROMEDIO,2.0413926851582254,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,62.89531851588424,71.86249843883341,1385.9954273051019,1386.045313926417,1386.0203706157595,o,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,11
001-cdmx-f-30-lic-1393.31372178985,1,media,d,media,CDMX-IN-SITU,FEMENINO,PUEDES,2.7993405494535817,unstressed,medial,no,elidida,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,79.61348604696012,79.81242024642249,1393.3020055530387,1393.3254380266546,1393.3137217898466,s,,mc,Tue Dec 11 13:16:27 2018,75HZ,6.0.40,OSX,63
001-cdmx-f-30-lic-1399.24661781038,4.704491700324283,baja,d,baja,CDMX-IN-SITU,FEMENINO,PRIVADA,1.4771212547196624,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,70.27000837638987,73.97450007671415,1399.234033704179,1399.259201916581,1399.24661781038,o,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,3
001-cdmx-f-30-lic-1409.76376291352,13.856062983083937,media,d,alta,CDMX-IN-SITU,FEMENINO,PROMEDIO,2.0413926851582254,unstressed,medial,no,yes,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,63.76602687651894,76.62208985960288,1409.7438019174726,1409.7837239095588,1409.7637629135156,o,,mc,Tue Aug 21 15:45:06 2018,75HZ,6.0.40,OSX,11
001-cdmx-f-30-lic-1410.10666292771,1,media,d,media,CDMX-IN-SITU,FEMENINO,PUEDES,2.7993405494535817,unstressed,medial,no,elidida,no_hay,formantes_fuertes,001-cdmx-f-30-lic,valid,76.96940576148899,78.25970803714544,1410.082362584699,1410.1309632707173,1410.1066629277082,s,,mc,Tue Dec 11 13:16:27 2018,75HZ,6.0.40,OSX,63
